Place,Relevant Words
Chandni Chowk,"['place', 'delhi', 'chowk', 'chandni', 'market', 'old', 'food', 'visit', 'shopping', 'crowded', 'street', 'shops', 'gali', 'people', 'rickshaw', 'wali', 'good', 'experience', 'area', 'red', 'like', 'india', 'fort', 'best', 'streets', 'narrow', 'famous', 'markets', 'great', 'time', 'lanes', 'metro', 'want', 'indian', 'busy', 'shop', 'walk', 'clothes', 'real', 'ride', 'really', 'buy', 'lot', 'lots', 'masjid', 'jama', 'things', 'places', 'traffic', 'wedding']"
Connaught Place,"['place', 'delhi', 'shopping', 'connaught', 'shops', 'cp', 'restaurants', 'good', 'visit', 'brands', 'food', 'palika', 'area', 'branded', 'market', 'great', 'circle', 'best', 'metro', 'nice', 'time', 'new', 'shop', 'people', 'bars', 'heart', 'lots', 'lot', 'stores', 'places', 'street', 'like', 'central', 'india', 'park', 'pubs', 'walk', 'janpath', 'old', 'bazar', 'eating', 'city', 'flag', 'cafes', 'rajiv', 'big', 'want', 'indian', 'friends', 'centre']"
Delhi Airport Metro Express,"['airport', 'delhi', 'metro', 'station', 'new', 'terminal', 'express', 'time', 'way', 'best', 'reach', 'travel', 'clean', 'railway', 'traffic', 'service', 'fast', 'fastest', 'comfortable', 'convenient', 'good', 'city', 'minutes', 'luggage', 'line', 'train', 'international', 'cheap', 'experience', 'transport', 'great', 'takes', 'easy', 'option', 'ride', 'travelling', 'journey', 'use', 'world', 'check', 'really', 'like', 'india', 'place', 'mins', 'took', 'crowded', 'class', 'excellent', 'facility']"
Friday Mosque (Jama Masjid),"['mosque', 'delhi', 'masjid', 'place', 'jama', 'visit', 'old', 'india', 'shoes', 'beautiful', 'people', 'red', 'camera', 'entrance', 'built', 'architecture', 'largest', 'great', 'jahan', 'visited', 'pay', 'wear', 'worth', 'inside', 'fee', 'time', 'area', 'fort', 'shah', 'mosques', 'mughal', 'rupees', 'nice', 'enter', 'impressive', 'view', 'prayer', 'minaret', 'outside', 'good', 'huge', 'emperor', 'free', 'chowk', 'experience', 'charge', 'women', 'entry', 'building', 'large']"
Gurudwara Bangla Sahib,"['place', 'gurudwara', 'visit', 'delhi', 'sikh', 'langar', 'sahib', 'bangla', 'temple', 'people', 'peace', 'beautiful', 'peaceful', 'guru', 'time', 'holy', 'feel', 'sarovar', 'gurdwara', 'sikhs', 'prasad', 'religion', 'food', 'religious', 'experience', 'visited', 'worship', 'free', 'inside', 'good', 'nice', 'kitchen', 'pond', 'clean', 'best', 'day', 'great', 'visiting', 'amazing', 'really', 'like', 'mind', 'head', 'heart', 'love', 'located', 'calm', 'connaught', 'spiritual', 'community']"
Hauz Khas Village,"['place', 'khas', 'hauz', 'village', 'restaurants', 'delhi', 'lake', 'good', 'shops', 'visit', 'nice', 'bars', 'great', 'park', 'cafes', 'pubs', 'ruins', 'food', 'area', 'time', 'friends', 'like', 'places', 'shopping', 'old', 'lots', 'night', 'best', 'beautiful', 'enjoy', 'lot', 'really', 'walk', 'little', 'day', 'people', 'amazing', 'evening', 'visited', 'small', 'fort', 'hangout', 'interesting', 'spend', 'young', 'new', 'restaurant', 'quite', 'historical', 'crowd']"
Humayun's Tomb,"['tomb', 'place', 'taj', 'visit', 'delhi', 'humayun', 'mahal', 'beautiful', 'architecture', 'gardens', 'mughal', 'monument', 'worth', 'history', 'great', 'site', 'nice', 'good', 'time', 'building', 'india', 'grounds', 'built', 'maintained', 'visited', 'tombs', 'garden', 'guide', 'really', 'like', 'amazing', 'walk', 'emperor', 'interesting', 'visiting', 'red', 'heritage', 'lovely', 'peaceful', 'buildings', 'historical', 'best', 'impressive', 'day', 'monuments', 'agra', 'tour', 'lot', 'complex', 'structure']"
ISKCON Temple Delhi,"['iskcon', 'iskconcomind', 'nc', 'communications', 'fb', 'twiiter', 'hare', 'krishna', 'follow', 'visit', 'valuable', 'time', 'temple', 'india', 'office', 'thanks', 'place', 'lord', 'delhi', 'beautiful', 'best', 'good', 'nice', 'food', 'temples', 'visited', 'devotees', 'restaurant', 'peaceful', 'clean', 'great', 'people', 'peace', 'experience', 'new', 'like', 'inside', 'spiritual', 'evening', 'feel', 'really', 'east', 'lotus', 'love', 'architecture', 'atmosphere', 'located', 'divine', 'maintained', 'amazing']"
India Gate,"['india', 'place', 'gate', 'war', 'soldiers', 'visit', 'delhi', 'monument', 'time', 'nice', 'indian', 'amar', 'good', 'people', 'memorial', 'jyoti', 'great', 'evening', 'jawan', 'beautiful', 'night', 'family', 'rajpath', 'arc', 'day', 'area', 'walk', 'names', 'world', 'died', 'best', 'worth', 'visited', 'enjoy', 'like', 'new', 'flame', 'really', 'ice', 'lots', 'crowded', 'lot', 'park', 'friends', 'picnic', 'arch', 'view', 'structure', 'army', 'vendors']"
Lodhi Garden,"['place', 'gardens', 'garden', 'delhi', 'lodi', 'lodhi', 'park', 'beautiful', 'tombs', 'walk', 'nice', 'visit', 'great', 'good', 'morning', 'time', 'monuments', 'green', 'lovely', 'people', 'maintained', 'city', 'birds', 'trees', 'picnic', 'day', 'peaceful', 'old', 'walking', 'buildings', 'lots', 'family', 'enjoy', 'evening', 'best', 'really', 'couples', 'flowers', 'tomb', 'stroll', 'ruins', 'lake', 'quiet', 'new', 'worth', 'relax', 'spend', 'historical', 'area', 'clean']"
Lotus Temple,"['temple', 'place', 'lotus', 'inside', 'visit', 'bahai', 'beautiful', 'delhi', 'architecture', 'peaceful', 'time', 'building', 'nice', 'peace', 'good', 'religion', 'people', 'gardens', 'like', 'meditation', 'worship', 'outside', 'worth', 'long', 'opera', 'meditate', 'faith', 'really', 'great', 'visited', 'structure', 'sydney', 'hall', 'silence', 'garden', 'walk', 'flower', 'shoes', 'quite', 'maintained', 'amazing', 'sit', 'house', 'shape', 'quiet', 'religions', 'calm', 'prayer', 'metro', 'visiting']"
Qutub Minar,"['minar', 'place', 'visit', 'delhi', 'qutub', 'history', 'tower', 'qutab', 'minaret', 'site', 'pillar', 'monument', 'good', 'time', 'beautiful', 'architecture', 'iron', 'tallest', 'great', 'historical', 'india', 'worth', 'ruins', 'nice', 'guide', 'amazing', 'complex', 'built', 'interesting', 'visited', 'world', 'old', 'really', 'monuments', 'heritage', 'aibak', 'maintained', 'metro', 'tall', 'qutb', 'lot', 'best', 'structure', 'visiting', 'day', 'like', 'years', 'unesco', 'area', 'ancient']"
Rashtrapati Bhavan,"['rashtrapati', 'bhavan', 'president', 'place', 'india', 'visit', 'delhi', 'building', 'bhawan', 'residence', 'beautiful', 'gate', 'inside', 'gardens', 'architecture', 'garden', 'mughal', 'online', 'time', 'great', 'house', 'tour', 'palace', 'official', 'british', 'good', 'area', 'security', 'outside', 'indian', 'open', 'rajpath', 'view', 'amazing', 'public', 'buildings', 'allowed', 'worth', 'nice', 'visited', 'new', 'best', 'huge', 'like', 'walk', 'home', 'really', 'day', 'visiting', 'book']"
Red Fort (Lal Quila),"['fort', 'red', 'place', 'delhi', 'visit', 'history', 'inside', 'india', 'mughal', 'time', 'good', 'great', 'guide', 'worth', 'beautiful', 'architecture', 'buildings', 'agra', 'day', 'old', 'nice', 'historical', 'visited', 'impressive', 'built', 'really', 'lal', 'lot', 'light', 'audio', 'indian', 'huge', 'outside', 'amazing', 'sound', 'monument', 'walk', 'interesting', 'site', 'chowk', 'museum', 'emperor', 'jahan', 'shah', 'like', 'chandni', 'tour', 'independence', 'area', 'maintained']"
Swaminarayan Akshardham,"['temple', 'place', 'visit', 'delhi', 'akshardham', 'beautiful', 'architecture', 'boat', 'swaminarayan', 'good', 'inside', 'amazing', 'time', 'fountain', 'allowed', 'great', 'day', 'best', 'india', 'evening', 'water', 'light', 'food', 'nice', 'security', 'worth', 'really', 'visited', 'swami', 'huge', 'metro', 'cameras', 'experience', 'like', 'hindu', 'complex', 'phones', 'narayan', 'ride', 'indian', 'shows', 'clean', 'hours', 'new', 'family', 'musical', 'built', 'carvings', 'camera', 'visiting']"
