City,Place
Delhi,Chandni Chowk
Delhi,Connaught Place
Delhi,Delhi Airport Metro Express
Delhi,Friday Mosque (Jama Masjid)
Delhi,Gurudwara Bangla Sahib
Delhi,Hauz Khas Village
Delhi,Humayun's Tomb
Delhi,ISKCON Temple Delhi
Delhi,India Gate
Delhi,Lodhi Garden
Delhi,Lotus Temple
Delhi,Qutub Minar
Delhi,Rashtrapati Bhavan
Delhi,Red Fort (Lal Quila)
Delhi,Swaminarayan Akshardham
Agra,Agra Fort
Agra,Anguri Bagh
Agra,Dayal Bagh
Agra,Diwan-i-Am Agra Fort
Agra,Jahangir Mahal
Agra,Jama Masjid
Agra,Jawab Masjid
Agra,Kalakriti Cultural & Convention Center
Agra,Mehtab Bagh
Agra,Mother Teresa's Missionaries of Charity
Agra,Sheesh Mahal
Agra,Taj Mahal
Agra,Taj Museum
Agra,Tomb of Itimad-ud-Daulah
Agra,Wildlife SOS
Bengaluru,Art of Living International Center
Bengaluru,Bangalore Palace
Bengaluru,Bannerghatta National Park
Bengaluru,Commercial Street
Bengaluru,Cubbon Park
Bengaluru,ISKCON Temple Bangalore
Bengaluru,Innovative Film City
Bengaluru,Lalbagh Botanical Garden
Bengaluru,Mahatma Gandhi (MG) Road
Bengaluru,Phoenix Marketcity
Bengaluru,Tipu Sultan Fort and Palace - Bangalore KR Market
Bengaluru,UB City
Bengaluru,Vidhana Soudha and Attara Kacheri
Bengaluru,Visvesvaraya Industrial and Technological Museum
Bengaluru,Wonderla Amusement Park
Chennai,Arignar Anna Zoological Park
Chennai,Besant Nagar Beach
Chennai,Chennai Central Railway Station
Chennai,Elliot's Beach
Chennai,Express Avenue Mall
Chennai,Kapaleeshwarar Temple
Chennai,Marina Beach
Chennai,Mylapore
Chennai,Parthasarathy Temple
Chennai,San Thome Church
Chennai,"T Nagar, Ranganathan Street"
Chennai,The Forum Vijaya Mall
Chennai,VGP Snow Kingdom
Chennai,VGP Universal Kingdom
Chennai,Vadapalani Murugan Temple
Hyderabad,Birla Mandir
Hyderabad,Buddha Statue
Hyderabad,Charminar
Hyderabad,Chilkur Balaji Temple
Hyderabad,Chowmahalla Palace
Hyderabad,Golconda Fort
Hyderabad,Hussain Sagar Lake
Hyderabad,Lumbini Park
Hyderabad,Nehru Zoological Park
Hyderabad,Ramoji Film City
Hyderabad,Salar Jung Museum
Hyderabad,Shilparamam Cultural Society
Hyderabad,Shri Jagannath Temple
Hyderabad,Taj Falaknuma Palace
Hyderabad,Wonderla Amusement Park
Jaipur,Albert Hall Museum
Jaipur,Amer jeep Safari
Jaipur,Anokhi Museum of Hand Printing
Jaipur,Birla Mandir Temple
Jaipur,City Palace of Jaipur
Jaipur,Govind Devji Temple
Jaipur,Hawa Mahal - Palace of Wind
Jaipur,Jaigarh Fort
Jaipur,Jal Mahal
Jaipur,Jantar Mantar - Jaipur
Jaipur,Make Bike Trip
Jaipur,Monkey Temple
Jaipur,Moti Dungari Temple
Jaipur,Nahargarh Fort
Jaipur,Panna Meena ka Kund
Kolkata,College Street (Boi Para)
Kolkata,Dakshineswar Kali Temple
Kolkata,Eco Tourism Park
Kolkata,Eden Gardens
Kolkata,Howrah Bridge
Kolkata,Indian Museum (Jadu Ghar)
Kolkata,Kalighat Kali Temple
Kolkata,Metro Railway
Kolkata,Mother House
Kolkata,New Market
Kolkata,Nicco Parks & Resorts Limited
Kolkata,Park Street
Kolkata,Prinsep Ghat
Kolkata,Science City
Kolkata,Victoria Memorial Hall
Mumbai,Bandra-Worli Sea Link
Mumbai,Chhatrapati Shivaji Terminus
Mumbai,Colaba
Mumbai,Elephanta Caves
Mumbai,Essel World
Mumbai,Gateway of India
Mumbai,Juhu Beach
Mumbai,KidZania Mumbai
Mumbai,Mani Bhavan Gandhi Museum
Mumbai,Marine Drive
Mumbai,Mount Mary Basilica
Mumbai,Nariman Point
Mumbai,Shree Siddhivinayak
Mumbai,Sri Sri Radha Gopinath Temple
Mumbai,Water Kingdom
Pune,Aga Khan Palace
Pune,Chaturshrungi Temple
Pune,Dagadusheth Halwai Ganapati Temple
Pune,Darshan Museum
Pune,ISKCON NVCC Temple
Pune,Laxmi Road
Pune,Malshej Ghats
Pune,Phoenix Market City
Pune,Pune Okayama Friendship Garden
Pune,Raja Dinkar Kelkar Museum
Pune,Rajiv Gandhi Zoological Park
Pune,Sarasbaug Ganpati Temple
Pune,Shaniwar Wada
Pune,Sinhagad Fort
Pune,Sri Balaji Mandir
Udaipur,Bagore Ki Haveli Museum
Udaipur,Chetak Smarak
Udaipur,City Palace Museum
Udaipur,City Palace of Udaipur
Udaipur,Crystal Gallery
Udaipur,Ekling Ji Temple
Udaipur,Jagdish Temple
Udaipur,Jagmandir
Udaipur,Lake Pichola
Udaipur,Maharana Pratap Memorial
Udaipur,Monsoon Palace
Udaipur,Sahelion Ki Bari
Udaipur,Shilpgram
Udaipur,Srinathji Temple
Udaipur,Vintage Collection of Classic Cars Museum
